GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"""48051""","Burleson, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,404855,404263,430164,448115,531116,595693,624902,755650,559967,623105,728022,697162,720530,913905,782965,692235,927834,1326355,1285948
"""48053""","Burnet, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,826023,874763,903600,980423,999340,1109254,1168462,1192052,1139084,1149719,1168767,1182204,1192250,1255498,1264572,1293212,1338315,1396378,1450427
"""48053""","Burnet, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,69.871,73.994,76.433,82.932,84.532,93.829,98.838,100.833,96.353,97.252,98.863,100.000,100.850,106.200,106.967,109.390,113.205,118.116,122.688
"""48053""","Burnet, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,625301,677965,714478,800090,845605,975989,1060621,1105281,1078017,1098105,1139135,1182204,1218248,1313537,1355750,1410160,1488542,1590760,1695373
"""48055""","Caldwell, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,470041,506619,514251,516922,521762,571366,594679,610819,676860,728363,848663,933842,902769,862471,822513,808241,823923,881003,881820
"""48055""","Caldwell, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,50.334,54.251,55.068,55.354,55.873,61.184,63.681,65.409,72.481,77.996,90.879,100.000,96.673,92.357,88.078,86.550,88.229,94.342,94.429
"""48055""","Caldwell, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,349152,378704,409458,431425,466248,527155,569281,630293,625939,712801,863543,933842,937369,906909,797783,787460,833670,923841,934670
"""48057""","Calhoun, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,1852171,1892752,1635509,2739241,2746139,3449513,1933374,1868217,1781303,2033768,1975170,1915398,3118309,2458856,2365550,2423067,2817617,3350727,3518469
"""48057""","Calhoun, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,96.699,98.818,85.387,143.012,143.372,180.094,100.939,97.537,92.999,106.180,103.121,100.000,162.802,128.373,123.502,126.505,147.103,174.936,183.694
"""48057""","Calhoun, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,1135595,1144896,1037543,1881638,2039948,2840191,1639777,1706664,1577861,1849138,1926024,1915398,3067958,2504414,2336954,2388985,2890204,3563856,3753146
"""48059""","Callahan, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,201585,212513,204505,191834,189433,215788,231849,242802,259861,230445,238965,258998,255170,255028,244234,246055,260544,285983,293166
"""48059""","Callahan, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,77.833,82.052,78.960,74.068,73.141,83.316,89.518,93.747,100.333,88.976,92.265,100.000,98.522,98.467,94.300,95.003,100.597,110.419,113.192
"""48059""","Callahan, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,144655,153062,157431,156449,165105,194788,218269,244989,238138,222157,238506,258998,263019,267196,250346,254633,276220,311471,325258
"""48061""","Cameron, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,7274847,7625966,7760990,7877167,8091090,8510635,8555129,8671695,8676893,9068726,9280104,9385749,9513763,9470729,9532868,9712856,9803899,10091715,10373362
"""48061""","Cameron, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,77.510,81.250,82.689,83.927,86.206,90.676,91.150,92.392,92.448,96.622,98.874,100.000,101.364,100.905,101.567,103.485,104.455,107.522,110.522
"""48061""","Cameron, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,5567331,5960440,6194880,6476708,6830567,7403252,7726896,7991899,8206794,8685886,9048769,9385749,9728796,9892226,10211225,10572027,10827400,11378276,11978930
"""48063""","Camp, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,302943,326853,310022,307079,296808,309045,306106,320785,336413,370158,342355,347792,372313,371827,427953,368146,346911,348075,320604
"""48063""","Camp, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,87.105,93.979,89.140,88.294,85.341,88.859,88.014,92.235,96.728,106.431,98.437,100.000,107.050,106.911,123.049,105.853,99.747,100.081,92.183
"""48063""","Camp, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,220885,233737,238121,252209,250279,268965,278025,308706,309462,353221,338995,347792,382228,388165,432851,369863,358711,369723,350140
"""48065""","Carson, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,842196,848569,817900,784642,807504,800520,881375,774629,716584,771723,748295,731387,720640,743330,817745,902195,949132,961255,990779
"""48065""","Carson, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,115.151,116.022,111.828,107.281,110.407,109.452,120.507,105.912,97.976,105.515,102.312,100.000,98.531,101.633,111.807,123.354,129.771,131.429,135.466
"""48065""","Carson, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,561934,537974,582065,599776,693905,691824,795529,781197,670416,733723,739979,731387,748299,770189,813483,893524,944322,978793,1035948
"""48067""","Cass, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,843713,780181,677084,697764,685992,721077,732899,682081,677075,700493,693978,692020,711723,712133,702961,684435,723067,759667,801391
"""48067""","Cass, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,121.920,112.740,97.842,100.830,99.129,104.199,105.907,98.564,97.840,101.224,100.283,100.000,102.847,102.906,101.581,98.904,104.486,109.775,115.805
"""48067""","Cass, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,634771,580932,528553,567759,581475,630500,668014,649543,638641,681381,687949,692020,736496,746305,725235,708673,770620,830092,884501
"""48069""","Castro, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,401135,503254,560856,474524,597336,615006,553649,559975,440713,708819,708786,568464,465834,715999,891488,741652,823463,644823,891057
"""48069""","Castro, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,70.565,88.529,98.662,83.475,105.079,108.187,97.394,98.507,77.527,124.690,124.684,100.000,81.946,125.953,156.824,130.466,144.857,113.432,156.748
"""48069""","Castro, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,249271,298659,363898,349863,392245,393012,442966,454174,307164,547816,686812,568464,478450,691224,741229,545813,650257,503002,696546
"""48071""","Chambers, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,1389523,1501704,1576714,1786153,1731106,2418053,1741149,1623815,1707718,1893057,1705154,1991792,2190215,2346102,2813447,3081413,2792622,3113905,2924433
